Section I - Assets,Foreign Currency,Total Currency,DropdownValue
"(a) Non-Mortgage Loans, less allowance for impairment","(a) Non-Mortgage Loans, less allowance for impairment","(a) Non-Mortgage Loans, less allowance for impairment",AZ
"(i) Call and other short loans to investment dealers and brokers, secured",0,0,AZ
(ii) To regulated financial institutions,0,0,AZ
"(iii) To Canadian federal government, provinces, municipal or school corporations",0,0,AZ
(iv) To foreign governments,0,0,AZ
(v) Lease receivables,0,0,AZ
(vi) To individuals for non-business purposes,0,0,AZ
Of (A) Secured by residential property,0,0,AZ
which: (B) Secured by other than residential property,0,0,AZ
(vii) Reverse repurchase agreements,0,0,AZ
(viii) To individuals and others for business purposes,0,0,AZ
Of (A) Secured by residential property,0,0,AZ
which: (B) Secured by other than residential property,0,0,AZ
"(b) Mortgages, less allowance for impairment","(b) Mortgages, less allowance for impairment","(b) Mortgages, less allowance for impairment",AZ
(i) Residential,(i) Residential,(i) Residential,AZ
(A) Insured,0,0,AZ
(B) Of which: NHA MBS pooled and unsold,0,0,AZ
(C) Uninsured,0,0,AZ
(D) Reverse Mortgages,0,0,AZ
(ii) Non-residential,0,0,AZ
"4. Customers' liability under acceptances, less allowances for impairment",0,0,AZ
"5. Land, buildings, and equipment, less accumulated depreciation",0,74,AZ
6. Other assets,6. Other assets,6. Other assets,AZ
(a) Insurance-related assets,0,0,AZ
(b) Accrued interest,0,5,AZ
(c) Prepaid and deferred charges,0,0,AZ
(d) Goodwill,0,0,AZ
(e) Intangibles,(e) Intangibles,(e) Intangibles,AZ
(i) with definite lives,0,0,AZ
(ii) with indefinite lives,0,0,AZ
(f) Deferred tax assets,0,0,AZ
(g) Derivatives related amounts,587,587,AZ
(h) Due from Head Office and related Canadian regulated Financial Institutions,0,0,AZ
(i) Interests in associates and joint ventures,0,0,AZ
(j) Other,0,316,AZ
Total  Assets,6995,9713,AZ
1. Cash and cash equivalent,1. Cash and cash equivalent,1. Cash and cash equivalent,EN
"(a) Gold, bank notes, deposits with Bank of Canada, cheques and other items in transit",1710,684271,EN
"(b) Deposits with regulated financial institutions, less allowance for expected credit losses",107454,898849,EN
2. Securities,2. Securities,2. Securities,EN
"(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable",EN
(i) Treasury Bills and other short term paper,0,1572713,EN
(ii)Other securities,0,3616954,EN
"(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable",EN
(i) Debt,166037,522345,EN
(ii) Shares,801,73612,EN
3. Loans,3. Loans,3. Loans,EN
"(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses",EN
"(i) Call and other short loans to investment dealers and brokers, secured",0,0,EN
(ii) To regulated financial institutions,0,0,EN
"(iii) To Canadian federal government, provinces, municipal or school corporations",0,770,EN
(iv) To foreign governments,0,0,EN
(v) Lease receivables,56381,879070,EN
(vi) To individuals for non-business purposes,0,2190183,EN
Of (A) Secured by residential property,0,468383,EN
which: (B) Secured by other than residential property,0,1331178,EN
(vii) Reverse repurchase agreements,2764,3985892,EN
(viii) To individuals and others for business purposes,4615452,6959279,EN
Of (A) Secured by residential property,0,516333,EN
which: (B) Secured by other than residential property,4594048,6324028,EN
"(b) Mortgages, less allowance for expected credit losses","(b) Mortgages, less allowance for expected credit losses","(b) Mortgages, less allowance for expected credit losses",EN
(i) Residential,(i) Residential,(i) Residential,EN
(A) Insured,0,12406934,EN
(B) Of which: NHA MBS pooled and unsold,0,112197,EN
(C) Uninsured,0,7041343,EN
(D) Reverse Mortgages,0,0,EN
(ii) Non-residential,0,5934648,EN
"4. Customers' liability under acceptances, less allowance for expected credit losses",0,0,EN
"5. Land, buildings, and equipment, less accumulated depreciation",11044,88774,EN
"6. Other assets, less allowance for expected credit losses where applicable","6. Other assets, less allowance for expected credit losses where applicable","6. Other assets, less allowance for expected credit losses where applicable",EN
(a) Insurance-related assets,0,0,EN
(b) Accrued interest,46242,158759,EN
(c) Prepaid and deferred charges,4436,52451,EN
(d) Goodwill,0,0,EN
(e) Intangibles,(e) Intangibles,(e) Intangibles,EN
(i) with definite lives,1335,186098,EN
(ii) with indefinite lives,0,0,EN
(f) Deferred tax assets,31202,160825,EN
(g) Derivatives related amounts,0,209988,EN
(h) Due from Head Office and related Canadian regulated Financial Institutions,0,0,EN
(i) Interests in associates and joint ventures,0,0,EN
(j) Other,19513,311026,EN
Total  Assets,5064371,47934784,EN
1. Cash and cash equivalent,1. Cash and cash equivalent,1. Cash and cash equivalent,EQ
"(a) Gold, bank notes, deposits with Bank of Canada, cheques and other items in transit",0,12533,EQ
"(b) Deposits with regulated financial institutions, less allowance for expected credit losses",152486,2976013,EQ
2. Securities,2. Securities,2. Securities,EQ
"(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable",EQ
(i) Treasury Bills and other short term paper,0,19777,EQ
(ii)Other securities,0,0,EQ
"(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable",EQ
(i) Debt,253667,253667,EQ
(ii) Shares,0,164395,EQ
3. Loans,3. Loans,3. Loans,EQ
"(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses",EQ
"(i) Call and other short loans to investment dealers and brokers, secured",0,0,EQ
(ii) To regulated financial institutions,0,0,EQ
"(iii) To Canadian federal government, provinces, municipal or school corporations",0,0,EQ
(iv) To foreign governments,0,0,EQ
(v) Lease receivables,0,0,EQ
(vi) To individuals for non-business purposes,0,19914422,EQ
Of (A) Secured by residential property,0,18131042,EQ
which: (B) Secured by other than residential property,0,1644141,EQ
(vii) Reverse repurchase agreements,0,0,EQ
(viii) To individuals and others for business purposes,0,629738,EQ
Of (A) Secured by residential property,0,89,EQ
which: (B) Secured by other than residential property,0,629331,EQ
"(b) Mortgages, less allowance for expected credit losses","(b) Mortgages, less allowance for expected credit losses","(b) Mortgages, less allowance for expected credit losses",EQ
(i) Residential,(i) Residential,(i) Residential,EQ
(A) Insured,0,4540194,EQ
(B) Of which: NHA MBS pooled and unsold,0,1659142,EQ
(C) Uninsured,0,682617,EQ
(D) Reverse Mortgages,0,0,EQ
(ii) Non-residential,0,277642,EQ
"4. Customers' liability under acceptances, less allowance for expected credit losses",0,0,EQ
"5. Land, buildings, and equipment, less accumulated depreciation",0,0,EQ
"6. Other assets, less allowance for expected credit losses where applicable","6. Other assets, less allowance for expected credit losses where applicable","6. Other assets, less allowance for expected credit losses where applicable",EQ
(a) Insurance-related assets,0,0,EQ
(b) Accrued interest,2448,21978,EQ
(c) Prepaid and deferred charges,0,27601,EQ
(d) Goodwill,0,0,EQ
(e) Intangibles,(e) Intangibles,(e) Intangibles,EQ
(i) with definite lives,0,18033,EQ
(ii) with indefinite lives,0,0,EQ
(f) Deferred tax assets,0,82990,EQ
(g) Derivatives related amounts,0,236,EQ
(h) Due from Head Office and related Canadian regulated Financial Institutions,0,0,EQ
(i) Interests in associates and joint ventures,0,0,EQ
(j) Other,871,116054,EQ
Total  Assets,409472,29737890,EQ
1. Cash and cash equivalent,1. Cash and cash equivalent,1. Cash and cash equivalent,BF
"(a) Gold, bank notes, deposits with Bank of Canada, cheques and other items in transit",0,26,BF
"(b) Deposits with regulated financial institutions, less allowance for expected credit losses",8,11504,BF
2. Securities,2. Securities,2. Securities,BF
"(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable",BF
(i) Treasury Bills and other short term paper,0,0,BF
(ii)Other securities,0,0,BF
"(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable",BF
(i) Debt,0,10855,BF
(ii) Shares,0,0,BF
3. Loans,3. Loans,3. Loans,BF
"(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses",BF
"(i) Call and other short loans to investment dealers and brokers, secured",0,0,BF
(ii) To regulated financial institutions,0,0,BF
"(iii) To Canadian federal government, provinces, municipal or school corporations",0,0,BF
(iv) To foreign governments,0,0,BF
(v) Lease receivables,0,0,BF
(vi) To individuals for non-business purposes,0,19637,BF
Of (A) Secured by residential property,0,13570,BF
which: (B) Secured by other than residential property,0,655,BF
(vii) Reverse repurchase agreements,0,0,BF
(viii) To individuals and others for business purposes,0,0,BF
Of (A) Secured by residential property,0,0,BF
which: (B) Secured by other than residential property,0,0,BF
"(b) Mortgages, less allowance for expected credit losses","(b) Mortgages, less allowance for expected credit losses","(b) Mortgages, less allowance for expected credit losses",BF
(i) Residential,(i) Residential,(i) Residential,BF
(A) Insured,0,30256,BF
(B) Of which: NHA MBS pooled and unsold,0,0,BF
(C) Uninsured,0,118736,BF
(D) Reverse Mortgages,0,0,BF
(ii) Non-residential,0,0,BF
"4. Customers' liability under acceptances, less allowance for expected credit losses",0,0,BF
"5. Land, buildings, and equipment, less accumulated depreciation",0,0,BF
"6. Other assets, less allowance for expected credit losses where applicable","6. Other assets, less allowance for expected credit losses where applicable","6. Other assets, less allowance for expected credit losses where applicable",BF
(a) Insurance-related assets,0,0,BF
(b) Accrued interest,0,163,BF
(c) Prepaid and deferred charges,0,176,BF
(d) Goodwill,0,0,BF
(e) Intangibles,(e) Intangibles,(e) Intangibles,BF
(i) with definite lives,0,0,BF
(ii) with indefinite lives,0,0,BF
(f) Deferred tax assets,0,0,BF
(g) Derivatives related amounts,0,0,BF
(h) Due from Head Office and related Canadian regulated Financial Institutions,0,0,BF
(i) Interests in associates and joint ventures,0,0,BF
(j) Other,0,180,BF
Total  Assets,8,191533,BF
1. Cash and cash equivalent,1. Cash and cash equivalent,1. Cash and cash equivalent,AG
"(a) Gold, bank notes, deposits with Bank of Canada, cheques and other items in transit",1250959,10460104,AG
"(b) Deposits with regulated financial institutions, less allowance for expected credit losses",14824081,15845440,AG
2. Securities,2. Securities,2. Securities,AG
"(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable",AG
(i) Treasury Bills and other short term paper,82352,21170664,AG
(ii)Other securities,1150499,31100623,AG
"(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable",AG
(i) Debt,8768082,15142733,AG
(ii) Shares,64505598,89666309,AG
3. Loans,3. Loans,3. Loans,AG
"(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses",AG
"(i) Call and other short loans to investment dealers and brokers, secured",0,7287,AG
(ii) To regulated financial institutions,6631,881439,AG
"(iii) To Canadian federal government, provinces, municipal or school corporations",0,877163,AG
(iv) To foreign governments,0,0,AG
(v) Lease receivables,0,0,AG
(vi) To individuals for non-business purposes,3281631,49046861,AG
Of (A) Secured by residential property,2299,29602067,AG
which: (B) Secured by other than residential property,2905805,13261025,AG
(vii) Reverse repurchase agreements,10947303,13513584,AG
(viii) To individuals and others for business purposes,31349662,92894163,AG
Of (A) Secured by residential property,30573,1087671,AG
which: (B) Secured by other than residential property,24919389,74958173,AG
"(b) Mortgages, less allowance for expected credit losses","(b) Mortgages, less allowance for expected credit losses","(b) Mortgages, less allowance for expected credit losses",AG
(i) Residential,(i) Residential,(i) Residential,AG
(A) Insured,0,42062786,AG
(B) Of which: NHA MBS pooled and unsold,0,12546926,AG
(C) Uninsured,9200686,49570933,AG
(D) Reverse Mortgages,297542,297542,AG
(ii) Non-residential,0,1006559,AG
"4. Customers' liability under acceptances, less allowance for expected credit losses",0,1193218,AG
"5. Land, buildings, and equipment, less accumulated depreciation",250071,1830234,AG
"6. Other assets, less allowance for expected credit losses where applicable","6. Other assets, less allowance for expected credit losses where applicable","6. Other assets, less allowance for expected credit losses where applicable",AG
(a) Insurance-related assets,0,31161,AG
(b) Accrued interest,581162,1640269,AG
(c) Prepaid and deferred charges,100791,397338,AG
(d) Goodwill,170397,1519116,AG
(e) Intangibles,(e) Intangibles,(e) Intangibles,AG
(i) with definite lives,30282,1064822,AG
(ii) with indefinite lives,0,163959,AG
(f) Deferred tax assets,39150,633139,AG
(g) Derivatives related amounts,6612845,9340578,AG
(h) Due from Head Office and related Canadian regulated Financial Institutions,0,0,AG
(i) Interests in associates and joint ventures,30775,37166,AG
(j) Other,1229718,5765853,AG
Total  Assets,154710217,457161043,AG
Gold coin and gold and silver bullion,0,0,FI
Bank notes and other coin,0,0,FI
Not in use,Not in use,Not in use,FI
Deposits with Bank of Canada,0,0,FI
"Deposits with regulated financial institutions, less allowance for impairment",264,45529,FI
Cheques and other items in transit,0,0,FI
Securities issued or guaranteed by Canada,Securities issued or guaranteed by Canada,Securities issued or guaranteed by Canada,FI
Securities issued by Canada,Securities issued by Canada,Securities issued by Canada,FI
Treasury Bills,0,0,FI
Other securities maturing within 3 years,0,0,FI
Other securities,0,0,FI
Securities guaranteed by Canada,Securities guaranteed by Canada,Securities guaranteed by Canada,FI
Securities maturing within 3 years,0,0,FI
Other securities,0,0,FI
Shares,0,0,FI
Securities issued or guaranteed by a Canadian province,0,0,FI
Securities issued or guaranteed by a Canadian municipal or school corporation,0,0,FI
"Other securities, less allowance for impairment","Other securities, less allowance for impairment","Other securities, less allowance for impairment",FI
Debt,0,0,FI
Shares,0,0,FI
"Non-Mortgage Loans, less allowance for impairment","Non-Mortgage Loans, less allowance for impairment","Non-Mortgage Loans, less allowance for impairment",FI
"Call and other short loans to investment dealers and brokers, secured",0,0,FI
To regulated financial institutions,0,0,FI
"To Canadian federal government, provinces, municipal or school corporations",0,0,FI
To foreign governments,0,0,FI
Lease receivables,0,0,FI
To individuals for non-business purposes,0,0,FI
Reverse repurchase agreements,0,0,FI
To individuals and others for business purposes,0,0,FI
"Mortgages, less allowance for impairment","Mortgages, less allowance for impairment","Mortgages, less allowance for impairment",FI
Residential,Residential,Residential,FI
Insured,0,0,FI
Uninsured,0,0,FI
Non-residential,0,0,FI
"Customers' liability under acceptances, less allowances for impairment",0,0,FI
"Land, buildings, and equipment, less accumulated depreciation",0,0,FI
Insurance-related assets,Insurance-related assets,Insurance-related assets,FI
Policy loans,0,0,FI
Premiums outstanding,0,0,FI
Due from other insurers,0,0,FI
Other,0,0,FI
Other assets,Other assets,Other assets,FI
Accrued interest,0,0,FI
Prepaid and deferred charges,0,276,FI
Goodwill,0,0,FI
Intangibles,Intangibles,Intangibles,FI
with definite lives,0,0,FI
with indefinite lives,0,0,FI
Future income taxes,0,274,FI
Derivatives related amounts,0,0,FI
Due from Head Office and related Canadian regulated Financial Institutions,0,0,FI
Other,0,2993,FI
Total assets,264,49072,FI
1. Cash and cash equivalent,1. Cash and cash equivalent,1. Cash and cash equivalent,BH
"(a) Gold, bank notes, deposits with Bank of Canada, cheques and other items in transit",,0,BH
"(b) Deposits with regulated financial institutions, less allowance for expected credit losses",0,331042,BH
2. Securities,2. Securities,2. Securities,BH
"(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable",BH
(i) Treasury Bills and other short term paper,0,200,BH
(ii)Other securities,0,7136,BH
"(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable",BH
(i) Debt,0,500,BH
(ii) Shares,0,0,BH
3. Loans,3. Loans,3. Loans,BH
"(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses",BH
"(i) Call and other short loans to investment dealers and brokers, secured",0,0,BH
(ii) To regulated financial institutions,0,0,BH
"(iii) To Canadian federal government, provinces, municipal or school corporations",0,0,BH
(iv) To foreign governments,0,0,BH
(v) Lease receivables,0,0,BH
(vi) To individuals for non-business purposes,0,0,BH
Of (A) Secured by residential property,0,0,BH
which: (B) Secured by other than residential property,0,0,BH
(vii) Reverse repurchase agreements,0,0,BH
(viii) To individuals and others for business purposes,0,0,BH
Of (A) Secured by residential property,0,0,BH
which: (B) Secured by other than residential property,0,0,BH
"(b) Mortgages, less allowance for expected credit losses","(b) Mortgages, less allowance for expected credit losses","(b) Mortgages, less allowance for expected credit losses",BH
(i) Residential,(i) Residential,(i) Residential,BH
(A) Insured,0,50470,BH
(B) Of which: NHA MBS pooled and unsold,0,0,BH
(C) Uninsured,0,320586,BH
(D) Reverse Mortgages,0,0,BH
(ii) Non-residential,0,0,BH
"4. Customers' liability under acceptances, less allowance for expected credit losses",0,0,BH
"5. Land, buildings, and equipment, less accumulated depreciation",0,124,BH
"6. Other assets, less allowance for expected credit losses where applicable","6. Other assets, less allowance for expected credit losses where applicable","6. Other assets, less allowance for expected credit losses where applicable",BH
(a) Insurance-related assets,0,0,BH
(b) Accrued interest,0,1842,BH
(c) Prepaid and deferred charges,0,969,BH
(d) Goodwill,0,0,BH
(e) Intangibles,(e) Intangibles,(e) Intangibles,BH
(i) with definite lives,0,263,BH
(ii) with indefinite lives,0,0,BH
(f) Deferred tax assets,0,0,BH
(g) Derivatives related amounts,0,0,BH
(h) Due from Head Office and related Canadian regulated Financial Institutions,0,0,BH
(i) Interests in associates and joint ventures,0,0,BH
(j) Other,0,59,BH
Total  Assets,0,713191,BH
1. Cash and cash equivalent,1. Cash and cash equivalent,1. Cash and cash equivalent,FF
"(a) Gold, bank notes, deposits with Bank of Canada, cheques and other items in transit",,0,FF
"(b) Deposits with regulated financial institutions, less allowance for expected credit losses",1507,168523,FF
2. Securities,2. Securities,2. Securities,FF
"(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable",FF
(i) Treasury Bills and other short term paper,0,698660,FF
(ii)Other securities,0,97954,FF
"(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable",FF
(i) Debt,0,0,FF
(ii) Shares,0,0,FF
3. Loans,3. Loans,3. Loans,FF
"(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses",FF
"(i) Call and other short loans to investment dealers and brokers, secured",0,0,FF
(ii) To regulated financial institutions,0,0,FF
"(iii) To Canadian federal government, provinces, municipal or school corporations",0,0,FF
(iv) To foreign governments,0,0,FF
(v) Lease receivables,0,0,FF
(vi) To individuals for non-business purposes,0,3993147,FF
Of (A) Secured by residential property,0,0,FF
which: (B) Secured by other than residential property,0,0,FF
(vii) Reverse repurchase agreements,0,0,FF
(viii) To individuals and others for business purposes,0,57,FF
Of (A) Secured by residential property,0,0,FF
which: (B) Secured by other than residential property,0,0,FF
"(b) Mortgages, less allowance for expected credit losses","(b) Mortgages, less allowance for expected credit losses","(b) Mortgages, less allowance for expected credit losses",FF
(i) Residential,(i) Residential,(i) Residential,FF
(A) Insured,0,0,FF
(B) Of which: NHA MBS pooled and unsold,0,0,FF
(C) Uninsured,0,0,FF
(D) Reverse Mortgages,0,0,FF
(ii) Non-residential,0,0,FF
"4. Customers' liability under acceptances, less allowance for expected credit losses",0,0,FF
"5. Land, buildings, and equipment, less accumulated depreciation",0,2459,FF
"6. Other assets, less allowance for expected credit losses where applicable","6. Other assets, less allowance for expected credit losses where applicable","6. Other assets, less allowance for expected credit losses where applicable",FF
(a) Insurance-related assets,0,1085,FF
(b) Accrued interest,0,24800,FF
(c) Prepaid and deferred charges,0,28964,FF
(d) Goodwill,0,0,FF
(e) Intangibles,(e) Intangibles,(e) Intangibles,FF
(i) with definite lives,0,82137,FF
(ii) with indefinite lives,0,0,FF
(f) Deferred tax assets,0,46593,FF
(g) Derivatives related amounts,0,923,FF
(h) Due from Head Office and related Canadian regulated Financial Institutions,0,0,FF
(i) Interests in associates and joint ventures,0,0,FF
(j) Other,0,284158,FF
Total  Assets,1507,5429460,FF
1. Cash and cash equivalent,1. Cash and cash equivalent,1. Cash and cash equivalent,BC
"(a) Gold, bank notes, deposits with Bank of Canada, cheques and other items in transit",,0,BC
"(b) Deposits with regulated financial institutions, less allowance for expected credit losses",0,70408,BC
2. Securities,2. Securities,2. Securities,BC
"(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable",BC
(i) Treasury Bills and other short term paper,0,0,BC
(ii)Other securities,0,49160,BC
"(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable",BC
(i) Debt,0,0,BC
(ii) Shares,0,12020,BC
3. Loans,3. Loans,3. Loans,BC
"(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses",BC
"(i) Call and other short loans to investment dealers and brokers, secured",0,0,BC
(ii) To regulated financial institutions,0,0,BC
"(iii) To Canadian federal government, provinces, municipal or school corporations",0,0,BC
(iv) To foreign governments,0,0,BC
(v) Lease receivables,0,0,BC
(vi) To individuals for non-business purposes,0,0,BC
Of (A) Secured by residential property,0,0,BC
which: (B) Secured by other than residential property,0,0,BC
(vii) Reverse repurchase agreements,0,0,BC
(viii) To individuals and others for business purposes,0,0,BC
Of (A) Secured by residential property,0,0,BC
which: (B) Secured by other than residential property,0,0,BC
"(b) Mortgages, less allowance for expected credit losses","(b) Mortgages, less allowance for expected credit losses","(b) Mortgages, less allowance for expected credit losses",BC
(i) Residential,(i) Residential,(i) Residential,BC
(A) Insured,0,47811,BC
(B) Of which: NHA MBS pooled and unsold,0,35924,BC
(C) Uninsured,0,1644276,BC
(D) Reverse Mortgages,0,0,BC
(ii) Non-residential,0,311610,BC
"4. Customers' liability under acceptances, less allowance for expected credit losses",0,0,BC
"5. Land, buildings, and equipment, less accumulated depreciation",0,1470,BC
"6. Other assets, less allowance for expected credit losses where applicable","6. Other assets, less allowance for expected credit losses where applicable","6. Other assets, less allowance for expected credit losses where applicable",BC
(a) Insurance-related assets,0,0,BC
(b) Accrued interest,0,10959,BC
(c) Prepaid and deferred charges,0,6649,BC
(d) Goodwill,0,0,BC
(e) Intangibles,(e) Intangibles,(e) Intangibles,BC
(i) with definite lives,0,234,BC
(ii) with indefinite lives,0,0,BC
(f) Deferred tax assets,0,0,BC
(g) Derivatives related amounts,0,0,BC
(h) Due from Head Office and related Canadian regulated Financial Institutions,0,0,BC
(i) Interests in associates and joint ventures,0,0,BC
(j) Other,0,105467,BC
Total  Assets,0,2260064,BC
1. Cash and cash equivalent,1. Cash and cash equivalent,1. Cash and cash equivalent,FR
"(a) Gold, bank notes, deposits with Bank of Canada, cheques and other items in transit",,0,FR
"(b) Deposits with regulated financial institutions, less allowance for expected credit losses",0,50051,FR
2. Securities,2. Securities,2. Securities,FR
"(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable",FR
(i) Treasury Bills and other short term paper,0,35415,FR
(ii)Other securities,0,0,FR
"(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable",FR
(i) Debt,0,0,FR
(ii) Shares,0,0,FR
3. Loans,3. Loans,3. Loans,FR
"(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses",FR
"(i) Call and other short loans to investment dealers and brokers, secured",0,0,FR
(ii) To regulated financial institutions,0,0,FR
"(iii) To Canadian federal government, provinces, municipal or school corporations",0,0,FR
(iv) To foreign governments,0,0,FR
(v) Lease receivables,0,0,FR
(vi) To individuals for non-business purposes,0,570919,FR
Of (A) Secured by residential property,0,0,FR
which: (B) Secured by other than residential property,0,0,FR
(vii) Reverse repurchase agreements,0,0,FR
(viii) To individuals and others for business purposes,0,0,FR
Of (A) Secured by residential property,0,0,FR
which: (B) Secured by other than residential property,0,0,FR
"(b) Mortgages, less allowance for expected credit losses","(b) Mortgages, less allowance for expected credit losses","(b) Mortgages, less allowance for expected credit losses",FR
(i) Residential,(i) Residential,(i) Residential,FR
(A) Insured,0,0,FR
(B) Of which: NHA MBS pooled and unsold,0,0,FR
(C) Uninsured,0,0,FR
(D) Reverse Mortgages,0,0,FR
(ii) Non-residential,0,0,FR
"4. Customers' liability under acceptances, less allowance for expected credit losses",0,0,FR
"5. Land, buildings, and equipment, less accumulated depreciation",0,0,FR
"6. Other assets, less allowance for expected credit losses where applicable","6. Other assets, less allowance for expected credit losses where applicable","6. Other assets, less allowance for expected credit losses where applicable",FR
(a) Insurance-related assets,0,0,FR
(b) Accrued interest,0,3204,FR
(c) Prepaid and deferred charges,0,651,FR
(d) Goodwill,0,0,FR
(e) Intangibles,(e) Intangibles,(e) Intangibles,FR
(i) with definite lives,0,36746,FR
(ii) with indefinite lives,0,0,FR
(f) Deferred tax assets,0,30029,FR
(g) Derivatives related amounts,0,0,FR
(h) Due from Head Office and related Canadian regulated Financial Institutions,0,0,FR
(i) Interests in associates and joint ventures,0,0,FR
(j) Other,0,3354,FR
Total  Assets,0,730369,FR
1. Cash and cash equivalent,1. Cash and cash equivalent,1. Cash and cash equivalent,AB
"(a) Gold, bank notes, deposits with Bank of Canada, cheques and other items in transit",4801123,41931430,AB
"(b) Deposits with regulated financial institutions, less allowance for expected credit losses",96160944,96454008,AB
2. Securities,2. Securities,2. Securities,AB
